geo_codes,country,week,deaths,year,date,deaths_per_day,avg_deaths,excess_deaths,excess_deaths_prc
SI,Slovenia,3,467.0,2000,2000-01-17,66.71428571428571,469.0,-2.0,-0.42643923240938164
SK,Slovakia,3,1257.0,2000,2000-01-17,179.57142857142858,1197.5,59.5,4.968684759916493
FI,Finland,3,1201.0,2000,2000-01-17,171.57142857142858,1177.75,23.25,1.9741031628104435
SE,Sweden,3,2093.0,2000,2000-01-17,299.0,1950.5,142.5,7.305819020763907
NO,Norway,3,1073.0,2000,2000-01-17,153.28571428571428,906.0,167.0,18.432671081677704
CH,Switzerland,3,1578.0,2000,2000-01-17,225.42857142857142,1480.25,97.75,6.603614254348927
BE,Belgium,4,2633.0,2000,2000-01-24,376.14285714285717,2400.5,232.5,9.685482191210165
BG,Bulgaria,4,3659.0,2000,2000-01-24,522.7142857142857,2551.25,1107.75,43.419892209701125
DE,Germany,4,19715.0,2000,2000-01-24,2816.4285714285716,19866.5,-151.5,-0.7625902901869982
EE,Estonia,4,480.0,2000,2000-01-24,68.57142857142857,339.25,140.75,41.48857774502579
ES,Spain,4,9426.0,2000,2000-01-24,1346.5714285714287,10006.0,-580.0,-5.7965220867479506
HR,Croatia,4,1270.0,2000,2000-01-24,181.42857142857142,1234.75,35.25,2.8548289127353716
LV,Latvia,4,841.0,2000,2000-01-24,120.14285714285714,613.75,227.25,37.026476578411405
LT,Lithuania,4,897.0,2000,2000-01-24,128.14285714285714,925.75,-28.75,-3.1055900621118013
LU,Luxembourg,4,85.0,2000,2000-01-24,12.142857142857142,88.0,-3.0,-3.4090909090909087
HU,Hungary,4,2972.0,2000,2000-01-24,424.57142857142856,3019.5,-47.5,-1.5731081304851797
NL,Netherlands,4,3202.0,2000,2000-01-24,457.42857142857144,3332.0,-130.0,-3.9015606242496994
AT,Austria,4,1940.0,2000,2000-01-24,277.14285714285717,1736.0,204.0,11.751152073732719
PL,Poland,4,9380.0,2000,2000-01-24,1340.0,8878.5,501.5,5.648476657092978
PT,Portugal,4,3112.0,2000,2000-01-24,444.57142857142856,2760.25,351.75,12.743410922923648
SI,Slovenia,4,457.0,2000,2000-01-24,65.28571428571429,482.0,-25.0,-5.186721991701245
SK,Slovakia,4,1252.0,2000,2000-01-24,178.85714285714286,1141.75,110.25,9.656229472301291
FI,Finland,4,1112.0,2000,2000-01-24,158.85714285714286,1148.75,-36.75,-3.199129488574538
SE,Sweden,4,2087.0,2000,2000-01-24,298.14285714285717,1918.0,169.0,8.811261730969761
NO,Norway,4,1044.0,2000,2000-01-24,149.14285714285714,873.75,170.25,19.48497854077253
CH,Switzerland,4,1520.0,2000,2000-01-24,217.14285714285714,1452.0,68.0,4.683195592286501
BE,Belgium,5,2403.0,2000,2000-01-31,343.2857142857143,2476.5,-73.5,-2.967898243488795
BG,Bulgaria,5,3445.0,2000,2000-01-31,492.14285714285717,2491.75,953.25,38.256245610514696
DE,Germany,5,20390.0,2000,2000-01-31,2912.8571428571427,20375.75,14.25,0.06993607597266359
EE,Estonia,5,439.0,2000,2000-01-31,62.714285714285715,342.25,96.75,28.268809349890432
ES,Spain,5,8759.0,2000,2000-01-31,1251.2857142857142,9738.5,-979.5,-10.058017148431484
HR,Croatia,5,1328.0,2000,2000-01-31,189.71428571428572,1190.0,138.0,11.596638655462185
LV,Latvia,5,710.0,2000,2000-01-31,101.42857142857143,601.0,109.0,18.136439267886857
LT,Lithuania,5,866.0,2000,2000-01-31,123.71428571428571,919.25,-53.25,-5.792765841718793
LU,Luxembourg,5,67.0,2000,2000-01-31,9.571428571428571,96.5,-29.5,-30.569948186528496
HU,Hungary,5,2810.0,2000,2000-01-31,401.42857142857144,3053.5,-243.5,-7.974455542819715
NL,Netherlands,5,2974.0,2000,2000-01-31,424.85714285714283,3304.75,-330.75,-10.00832135562448
AT,Austria,5,1928.0,2000,2000-01-31,275.42857142857144,1814.25,113.75,6.269808460796472
PL,Poland,5,9474.0,2000,2000-01-31,1353.4285714285713,9098.75,375.25,4.124192883637862
PT,Portugal,5,3114.0,2000,2000-01-31,444.85714285714283,2631.25,482.75,18.346793349168646
SI,Slovenia,5,508.0,2000,2000-01-31,72.57142857142857,501.25,6.75,1.346633416458853
SK,Slovakia,5,1364.0,2000,2000-01-31,194.85714285714286,1203.25,160.75,13.359650945356327
FI,Finland,5,1098.0,2000,2000-01-31,156.85714285714286,1156.5,-58.5,-5.058365758754864
SE,Sweden,5,2016.0,2000,2000-01-31,288.0,1864.5,151.5,8.125502815768302
NO,Norway,5,978.0,2000,2000-01-31,139.71428571428572,891.25,86.75,9.73352033660589
CH,Switzerland,5,1429.0,2000,2000-01-31,204.14285714285714,1436.25,-7.25,-0.504786771105309
BE,Belgium,6,2201.0,2000,2000-02-07,314.42857142857144,2428.75,-227.75,-9.377251672671127
BG,Bulgaria,6,2861.0,2000,2000-02-07,408.7142857142857,2317.5,543.5,23.451995685005393
DE,Germany,6,19229.0,2000,2000-02-07,2747.0,20338.0,-1109.0,-5.452846887599567
EE,Estonia,6,476.0,2000,2000-02-07,68.0,343.0,133.0,38.775510204081634
ES,Spain,6,7858.0,2000,2000-02-07,1122.5714285714287,9479.25,-1621.25,-17.103146345966188
HR,Croatia,6,1240.0,2000,2000-02-07,177.14285714285714,1128.5,111.5,9.880372175454143
LV,Latvia,6,698.0,2000,2000-02-07,99.71428571428571,591.75,106.25,17.955217574989437
LT,Lithuania,6,871.0,2000,2000-02-07,124.42857142857143,906.25,-35.25,-3.8896551724137933
LU,Luxembourg,6,86.0,2000,2000-02-07,12.285714285714286,96.25,-10.25,-10.649350649350648
HU,Hungary,6,2695.0,2000,2000-02-07,385.0,2998.0,-303.0,-10.106737825216811
NL,Netherlands,6,2840.0,2000,2000-02-07,405.7142857142857,3294.5,-454.5,-13.79572013962665
AT,Austria,6,1760.0,2000,2000-02-07,251.42857142857142,1814.75,-54.75,-3.016944482711117
PL,Poland,6,8591.0,2000,2000-02-07,1227.2857142857142,8983.5,-392.5,-4.36912116658318
PT,Portugal,6,2683.0,2000,2000-02-07,383.2857142857143,2591.5,91.5,3.5307736831950605
SI,Slovenia,6,492.0,2000,2000-02-07,70.28571428571429,468.75,23.25,4.96
SK,Slovakia,6,1261.0,2000,2000-02-07,180.14285714285714,1185.25,75.75,6.391056739084582
FI,Finland,6,1076.0,2000,2000-02-07,153.71428571428572,1138.0,-62.0,-5.448154657293498
SE,Sweden,6,2050.0,2000,2000-02-07,292.85714285714283,1895.75,154.25,8.136621389951207
NO,Norway,6,941.0,2000,2000-02-07,134.42857142857142,855.75,85.25,9.962021618463336
CH,Switzerland,6,1371.0,2000,2000-02-07,195.85714285714286,1463.5,-92.5,-6.320464639562692
BE,Belgium,7,2168.0,2000,2000-02-14,309.7142857142857,2431.5,-263.5,-10.836931935019535
BG,Bulgaria,7,2425.0,2000,2000-02-14,346.42857142857144,2285.25,139.75,6.11530467126135
DE,Germany,7,18146.0,2000,2000-02-14,2592.285714285714,20642.5,-2496.5,-12.093980864720844
EE,Estonia,7,432.0,2000,2000-02-14,61.714285714285715,321.0,111.0,34.57943925233645
ES,Spain,7,7514.0,2000,2000-02-14,1073.4285714285713,9241.0,-1727.0,-18.68845363055946
HR,Croatia,7,1084.0,2000,2000-02-14,154.85714285714286,1097.5,-13.5,-1.2300683371298404
LV,Latvia,7,682.0,2000,2000-02-14,97.42857142857143,601.5,80.5,13.383208645054031
LT,Lithuania,7,898.0,2000,2000-02-14,128.28571428571428,865.0,33.0,3.815028901734104
LU,Luxembourg,7,82.0,2000,2000-02-14,11.714285714285714,98.5,-16.5,-16.751269035532996
HU,Hungary,7,2594.0,2000,2000-02-14,370.57142857142856,2909.25,-315.25,-10.836126149351207
NL,Netherlands,7,2776.0,2000,2000-02-14,396.57142857142856,3339.5,-563.5,-16.87378350052403
AT,Austria,7,1666.0,2000,2000-02-14,238.0,1768.0,-102.0,-5.769230769230769
PL,Poland,7,7841.0,2000,2000-02-14,1120.142857142857,8879.5,-1038.5,-11.695478349006137
PT,Portugal,7,2425.0,2000,2000-02-14,346.42857142857144,2560.0,-135.0,-5.2734375
SI,Slovenia,7,428.0,2000,2000-02-14,61.142857142857146,462.75,-34.75,-7.509454349000539
SK,Slovakia,7,1147.0,2000,2000-02-14,163.85714285714286,1166.75,-19.75,-1.6927362331262055
FI,Finland,7,1050.0,2000,2000-02-14,150.0,1100.25,-50.25,-4.567143830947512
SE,Sweden,7,1882.0,2000,2000-02-14,268.85714285714283,1909.0,-27.0,-1.4143530644316398
NO,Norway,7,932.0,2000,2000-02-14,133.14285714285714,878.25,53.75,6.1201252490748645
CH,Switzerland,7,1343.0,2000,2000-02-14,191.85714285714286,1432.0,-89.0,-6.215083798882681
BE,Belgium,8,2127.0,2000,2000-02-21,303.85714285714283,2416.25,-289.25,-11.971029487842731
BG,Bulgaria,8,2421.0,2000,2000-02-21,345.85714285714283,2225.25,195.75,8.796764408493427
DE,Germany,8,17432.0,2000,2000-02-21,2490.285714285714,20994.5,-3562.5,-16.968729905451426
EE,Estonia,8,408.0,2000,2000-02-21,58.285714285714285,340.25,67.75,19.91182953710507
ES,Spain,8,7219.0,2000,2000-02-21,1031.2857142857142,9053.0,-1834.0,-20.25847785264553
HR,Croatia,8,1156.0,2000,2000-02-21,165.14285714285714,1069.75,86.25,8.06263145594765
LV,Latvia,8,687.0,2000,2000-02-21,98.14285714285714,631.75,55.25,8.745548080728135
LT,Lithuania,8,874.0,2000,2000-02-21,124.85714285714286,890.75,-16.75,-1.8804378332865561
LU,Luxembourg,8,84.0,2000,2000-02-21,12.0,84.25,-0.25,-0.2967359050445104
HU,Hungary,8,2596.0,2000,2000-02-21,370.85714285714283,2857.5,-261.5,-9.15135608048994
NL,Netherlands,8,2875.0,2000,2000-02-21,410.7142857142857,3389.5,-514.5,-15.179229974922556
AT,Austria,8,1628.0,2000,2000-02-21,232.57142857142858,1772.75,-144.75,-8.16527993230856
PL,Poland,8,7532.0,2000,2000-02-21,1076.0,8741.0,-1209.0,-13.831369408534492
PT,Portugal,8,2339.0,2000,2000-02-21,334.14285714285717,2464.0,-125.0,-5.073051948051948
SI,Slovenia,8,390.0,2000,2000-02-21,55.714285714285715,455.25,-65.25,-14.332784184514002
SK,Slovakia,8,1050.0,2000,2000-02-21,150.0,1171.0,-121.0,-10.333048676345005
FI,Finland,8,992.0,2000,2000-02-21,141.71428571428572,1100.5,-108.5,-9.859154929577464
SE,Sweden,8,1892.0,2000,2000-02-21,270.2857142857143,1962.5,-70.5,-3.5923566878980893
NO,Norway,8,884.0,2000,2000-02-21,126.28571428571429,851.75,32.25,3.786322277663633
CH,Switzerland,8,1221.0,2000,2000-02-21,174.42857142857142,1442.0,-221.0,-15.325936199722607
BE,Belgium,9,2055.0,2000,2000-02-28,293.57142857142856,2520.25,-465.25,-18.46047019144926
BG,Bulgaria,9,2396.0,2000,2000-02-28,342.2857142857143,2209.75,186.25,8.428555266432856
DE,Germany,9,17221.0,2000,2000-02-28,2460.1428571428573,21545.25,-4324.25,-20.070549192977573
EE,Estonia,9,364.0,2000,2000-02-28,52.0,335.75,28.25,8.413998510796723
ES,Spain,9,7014.0,2000,2000-02-28,1002.0,8883.75,-1869.75,-21.046855213170115
HR,Croatia,9,1074.0,2000,2000-02-28,153.42857142857142,1086.75,-12.75,-1.173222912353347
LV,Latvia,9,646.0,2000,2000-02-28,92.28571428571429,634.75,11.25,1.7723513194170932
LT,Lithuania,9,880.0,2000,2000-02-28,125.71428571428571,850.25,29.75,3.4989708909144372
LU,Luxembourg,9,76.0,2000,2000-02-28,10.857142857142858,87.5,-11.5,-13.142857142857142
HU,Hungary,9,2639.0,2000,2000-02-28,377.0,2837.25,-198.25,-6.987399770904926
NL,Netherlands,9,2674.0,2000,2000-02-28,382.0,3334.75,-660.75,-19.814079016418024
AT,Austria,9,1566.0,2000,2000-02-28,223.71428571428572,1799.5,-233.5,-12.97582661850514
PL,Poland,9,7526.0,2000,2000-02-28,1075.142857142857,8718.5,-1192.5,-13.677811550151976
PT,Portugal,9,2139.0,2000,2000-02-28,305.57142857142856,2404.25,-265.25,-11.032546532182593
SI,Slovenia,9,363.0,2000,2000-02-28,51.857142857142854,462.25,-99.25,-21.4710654407788
SK,Slovakia,9,1009.0,2000,2000-02-28,144.14285714285714,1180.75,-171.75,-14.545839508786788
FI,Finland,9,1104.0,2000,2000-02-28,157.71428571428572,1118.5,-14.5,-1.2963790791238265
SE,Sweden,9,1832.0,2000,2000-02-28,261.7142857142857,1952.25,-120.25,-6.159559482648226
NO,Norway,9,872.0,2000,2000-02-28,124.57142857142857,866.0,6.0,0.6928406466512702
CH,Switzerland,9,1198.0,2000,2000-02-28,171.14285714285714,1469.5,-271.5,-18.47567199727799
BE,Belgium,10,2029.0,2000,2000-03-06,289.85714285714283,2451.75,-422.75,-17.242785765269705
BG,Bulgaria,10,2360.0,2000,2000-03-06,337.14285714285717,2218.75,141.25,6.366197183098592
DE,Germany,10,16908.0,2000,2000-03-06,2415.4285714285716,21305.0,-4397.0,-20.63834780567942
EE,Estonia,10,395.0,2000,2000-03-06,56.42857142857143,329.25,65.75,19.96962794229309
ES,Spain,10,6918.0,2000,2000-03-06,988.2857142857143,8666.0,-1748.0,-20.170782367874452
HR,Croatia,10,1063.0,2000,2000-03-06,151.85714285714286,1106.5,-43.5,-3.9313149570718484
LV,Latvia,10,654.0,2000,2000-03-06,93.42857142857143,624.25,29.75,4.765718862635162
LT,Lithuania,10,834.0,2000,2000-03-06,119.14285714285714,824.0,10.0,1.2135922330097086
LU,Luxembourg,10,87.0,2000,2000-03-06,12.428571428571429,99.5,-12.5,-12.562814070351758
HU,Hungary,10,2725.0,2000,2000-03-06,389.2857142857143,2774.5,-49.5,-1.784105244188142
NL,Netherlands,10,2690.0,2000,2000-03-06,384.2857142857143,3367.25,-677.25,-20.112851733610512
AT,Austria,10,1524.0,2000,2000-03-06,217.71428571428572,1730.75,-206.75,-11.945688285425394
PL,Poland,10,7263.0,2000,2000-03-06,1037.5714285714287,8577.0,-1314.0,-15.320041972717732
PT,Portugal,10,2183.0,2000,2000-03-06,311.85714285714283,2311.25,-128.25,-5.548945375878853
SI,Slovenia,10,357.0,2000,2000-03-06,51.0,415.25,-58.25,-14.027694160144492
SK,Slovakia,10,986.0,2000,2000-03-06,140.85714285714286,1142.0,-156.0,-13.660245183887914
FI,Finland,10,1036.0,2000,2000-03-06,148.0,1094.5,-58.5,-5.344906349931476
SE,Sweden,10,1813.0,2000,2000-03-06,259.0,1883.5,-70.5,-3.743031590124768
NO,Norway,10,832.0,2000,2000-03-06,118.85714285714286,841.75,-9.75,-1.1583011583011582
CH,Switzerland,10,1179.0,2000,2000-03-06,168.42857142857142,1421.75,-242.75,-17.074028486020747
BE,Belgium,11,2012.0,2000,2000-03-13,287.42857142857144,2335.75,-323.75,-13.860644332655465
BG,Bulgaria,11,2227.0,2000,2000-03-13,318.14285714285717,2143.5,83.5,3.895498017261488
