year,month,country,deaths,date,avg_deaths,excess_deaths,excess_deaths_prc
2000,1,Austria,8011.428571428572,2000-01-01,7549.857142857143,461.57142857142844,6.113644534428275
2000,1,Belgium,11191.285714285716,2000-01-01,9998.214285714286,1193.0714285714294,11.932845150919814
2000,1,Bulgaria,13169.142857142857,2000-01-01,10673.678571428572,2495.4642857142844,23.37960871703756
2000,1,Croatia,4852.714285714285,2000-01-01,5140.071428571428,-287.3571428571431,-5.590528202776509
2000,1,Estonia,1820.7142857142858,2000-01-01,1422.142857142857,398.57142857142867,28.02611752887997
2000,1,Finland,4833.857142857143,2000-01-01,4898.428571428572,-64.57142857142844,-1.3182070051620027
2000,1,Germany,78489.85714285714,2000-01-01,81874.89285714286,-3385.03571428571,-4.1344001758780875
2000,1,Hungary,13981.42857142857,2000-01-01,12216.642857142857,1764.7857142857138,14.445750235334698
2000,1,Latvia,3366.4285714285716,2000-01-01,2582.3571428571427,784.0714285714289,30.362625508256592
2000,1,Lithuania,3400.714285714286,2000-01-01,3758.5000000000005,-357.7857142857147,-9.519375130656236
2000,1,Luxembourg,375.57142857142856,2000-01-01,377.5357142857143,-1.9642857142857224,-0.5202913631633737
2000,1,Netherlands,13946.857142857143,2000-01-01,13766.714285714286,180.14285714285688,1.3085392302344143
2000,1,Norway,4771.714285714285,2000-01-01,3763.285714285714,1008.4285714285711,26.79649242683065
2000,1,Poland,35908.42857142857,2000-01-01,36478.92857142857,-570.5,-1.563916546734416
2000,1,Portugal,11673.857142857143,2000-01-01,11455.92857142857,217.92857142857247,1.9023213183442227
2000,1,Slovakia,4942.857142857143,2000-01-01,4871.428571428572,71.42857142857156,1.4662756598240496
2000,1,Slovenia,1860.5714285714287,2000-01-01,1945.5357142857142,-84.96428571428555,-4.367140890316651
2000,1,Spain,39592.28571428572,2000-01-01,42169.357142857145,-2577.0714285714275,-6.1112419139829
2000,1,Sweden,9064.0,2000-01-01,8130.571428571428,933.4285714285716,11.480479319675302
2000,1,Switzerland,6611.142857142857,2000-01-01,6137.178571428572,473.9642857142853,7.722836808445009
2000,2,Austria,7154.0,2000-02-01,7218.142857142858,-64.14285714285779,-0.8886337997506374
2000,2,Belgium,9142.857142857143,2000-02-01,9857.928571428572,-715.0714285714294,-7.253769627058721
2000,2,Bulgaria,11344.428571428572,2000-02-01,9414.642857142857,1929.7857142857156,20.497704942908097
2000,2,Croatia,4925.142857142857,2000-02-01,4539.392857142857,385.75,8.49783246658222
2000,2,Estonia,1796.2857142857142,2000-02-01,1357.9642857142858,438.32142857142844,32.277831838623975
2000,2,Finland,4374.571428571428,2000-02-01,4546.0,-171.42857142857156,-3.770976054302058
2000,2,Germany,77204.42857142857,2000-02-01,83383.07142857143,-6178.64285714287,-7.409948747733153
2000,2,Hungary,11047.571428571428,2000-02-01,11932.357142857143,-884.7857142857156,-7.41501200217896
2000,2,Latvia,2860.142857142857,2000-02-01,2463.8571428571427,396.2857142857142,16.083956630138573
2000,2,Lithuania,3636.714285714286,2000-02-01,3623.3214285714284,13.392857142857338,0.36962928646763077
2000,2,Luxembourg,331.14285714285717,2000-02-01,376.32142857142856,-45.17857142857139,-12.00531460567523
2000,2,Netherlands,11804.142857142857,2000-02-01,13464.678571428572,-1660.5357142857156,-12.332531411550335
2000,2,Norway,3844.4285714285716,2000-02-01,3508.0714285714284,336.3571428571431,9.588092765662868
2000,2,Poland,34234.857142857145,2000-02-01,35970.607142857145,-1735.75,-4.82546761889916
2000,2,Portugal,10727.285714285714,2000-02-01,10343.642857142859,383.64285714285506,3.7089723846945124
2000,2,Slovakia,4915.428571428572,2000-02-01,4752.321428571428,163.10714285714312,3.4321572163980067
2000,2,Slovenia,1849.142857142857,2000-02-01,1897.392857142857,-48.25,-2.5429630884484347
2000,2,Spain,32102.714285714286,2000-02-01,37726.32142857143,-5623.607142857141,-14.90632250882057
2000,2,Sweden,8075.428571428571,2000-02-01,7742.321428571428,333.1071428571422,4.302419447840018
2000,2,Switzerland,5502.142857142857,2000-02-01,5821.142857142857,-319.0,-5.4800235594385
2000,3,Austria,6691.571428571428,2000-03-01,7464.678571428572,-773.1071428571431,-10.356871169459984
2000,3,Belgium,8792.714285714286,2000-03-01,10525.285714285714,-1732.5714285714275,-16.461039401712874
2000,3,Bulgaria,10260.857142857143,2000-03-01,9557.392857142857,703.4642857142862,7.360420317854173
2000,3,Croatia,4500.285714285714,2000-03-01,4705.535714285714,-205.25,-4.361883799476301
2000,3,Estonia,1577.4285714285716,2000-03-01,1424.3214285714284,153.10714285714312,10.749479702113808
2000,3,Finland,4391.428571428572,2000-03-01,4879.321428571429,-487.8928571428578,-9.999194852914279
2000,3,Germany,73374.28571428571,2000-03-01,90448.10714285714,-17073.821428571435,-18.876925087668667
2000,3,Hungary,11588.57142857143,2000-03-01,12000.0,-411.42857142857065,-3.4285714285714217
2000,3,Latvia,2805.714285714286,2000-03-01,2719.892857142857,85.8214285714289,3.1553238704255806
2000,3,Lithuania,3640.142857142857,2000-03-01,3576.6785714285716,63.464285714285325,1.774391644282893
2000,3,Luxembourg,337.7142857142857,2000-03-01,391.57142857142856,-53.85714285714283,-13.754104341481204
2000,3,Netherlands,11647.428571428572,2000-03-01,14205.642857142857,-2558.2142857142844,-18.008437291016136
2000,3,Norway,3622.0,2000-03-01,3674.8214285714284,-52.82142857142844,-1.4373876281646305
2000,3,Poland,31704.857142857145,2000-03-01,37149.428571428565,-5444.57142857142,-14.655868577097877
