year,month,deaths,country,date,avg_deaths,excess_deaths,excess_deaths_prc,what_if_deaths,what_if_deaths_difference,what_if_deaths_sparkline
2020,9,330.42857142857144,Luxembourg,2020-09-01,320.6428571428571,9.785714285714334,3.0519046558253664,89564,-142798,90110.68157718869
2020,10,360.57142857142856,Luxembourg,2020-10-01,356.42857142857144,4.14285714285711,1.162324649298588,89564,-142798,89772.20488977956
2020,11,486.4285714285714,Luxembourg,2020-11-01,359.32142857142856,127.10714285714288,35.3742172746248,89564,-142798,95900.512791969
2020,12,522.7142857142857,Luxembourg,2020-12-01,314.3928571428572,208.3214285714285,66.26150176076335,89564,-142798,101433.29028740202
2021,1,64.14285714285714,Luxembourg,2021-01-01,304.1714285714286,-240.02857142857144,-78.91226751831674,89564,-142798,75428.60334397896
2021,1,394.0,Luxembourg,2021-01-01,304.1714285714286,89.82857142857142,29.53221867368025,89564,-142798,94854.047266579
2021,2,361.0,Luxembourg,2021-02-01,376.32142857142856,-15.321428571428555,-4.071367561924642,89564,-142798,88834.70407136757
2021,3,427.0,Luxembourg,2021-03-01,391.57142857142856,35.428571428571445,9.047792776358998,89564,-142798,91184.71302444364
2021,4,354.42857142857144,Luxembourg,2021-04-01,332.85714285714283,21.57142857142861,6.480686695278982,89564,-142798,90724.87244635193
2021,5,330.7142857142857,Luxembourg,2021-05-01,326.7142857142857,4.0,1.2243113248797552,89564,-142798,89783.30843900306
2021,6,326.1428571428572,Luxembourg,2021-06-01,305.6428571428572,20.5,6.70717457349848,89564,-142798,90765.44276700163
2021,7,334.57142857142856,Luxembourg,2021-07-01,338.35714285714283,-3.7857142857142776,-1.1188515938357588,89564,-142798,89363.58235169938
2021,8,318.1428571428571,Luxembourg,2021-08-01,323.53571428571433,-5.392857142857224,-1.666850645766666,89564,-142798,89265.42037752511
2021,9,344.42857142857144,Luxembourg,2021-09-01,320.6428571428571,23.78571428571433,7.418133214524408,89564,-142798,90892.79536645133
2021,10,392.57142857142856,Luxembourg,2021-10-01,356.42857142857144,36.14285714285711,10.140280561122236,89564,-142798,91380.4081763527
2021,11,422.0,Luxembourg,2021-11-01,359.32142857142856,62.678571428571445,17.44359407613558,89564,-142798,92688.63611967002
2021,12,380.4285714285714,Luxembourg,2021-12-01,314.3928571428572,66.03571428571428,21.00420311257525,89564,-142798,93326.44089514938
2022,1,374.8571428571428,Luxembourg,2022-01-01,304.1714285714286,70.68571428571425,23.238775126808186,89564,-142798,93726.7153109149
2022,2,393.1428571428571,Luxembourg,2022-02-01,376.32142857142856,16.821428571428555,4.469962987567615,89564,-142798,90364.69553003702
2022,3,387.0,Luxembourg,2022-03-01,391.57142857142856,-4.571428571428555,-1.1674571324334142,89564,-142798,89354.87573878147
2022,4,394.57142857142856,Luxembourg,2022-04-01,332.85714285714283,61.71428571428572,18.540772532188846,89564,-142798,92885.17150214592
2022,5,332.57142857142856,Luxembourg,2022-05-01,326.7142857142857,5.857142857142833,1.792741582859634,89564,-142798,89885.13021425447
2022,6,334.1428571428572,Luxembourg,2022-06-01,305.6428571428572,28.5,9.324608553400326,89564,-142798,91234.2984809535
2022,7,369.7142857142857,Luxembourg,2022-07-01,338.35714285714283,31.35714285714289,9.26746886214905,89564,-142798,91224.06316233904
2022,8,357.1428571428571,Luxembourg,2022-08-01,323.53571428571433,33.607142857142776,10.387459984545728,89564,-142798,91424.6849321117
2022,9,326.1428571428572,Luxembourg,2022-09-01,320.6428571428571,5.500000000000057,1.7153040766317844,89564,-142798,89871.2589886389
2022,10,380.7142857142857,Luxembourg,2022-10-01,356.42857142857144,24.28571428571428,6.813627254509015,89564,-142798,90784.5114228457
2022,11,367.1428571428571,Luxembourg,2022-11-01,359.32142857142856,7.821428571428555,2.17672199582546,89564,-142798,89953.91185766822
2022,12,325.7142857142857,Luxembourg,2022-12-01,314.3928571428572,11.321428571428555,3.60104509826195,89564,-142798,90209.04800636147
2020,1,9726.0,Hungary,2020-01-01,9853.971428571427,-127.971428571429,-1.2986787053225863,135896,-96466,135543.02951732295
2020,2,11183.714285714286,Hungary,2020-02-01,11932.357142857143,-748.6428571428569,-6.274056736484826,135896,-96466,134190.7615714773
2020,3,11875.857142857143,Hungary,2020-03-01,12000.0,-124.14285714285688,-1.0345238095238074,135896,-96466,135614.8247047619
2020,4,10811.42857142857,Hungary,2020-04-01,10421.428571428572,389.9999999999982,3.742289239204917,135896,-96466,136913.12427690197
2020,5,10008.0,Hungary,2020-05-01,10208.785714285714,-200.78571428571377,-1.966793308284876,135896,-96466,135361.44131315465
2020,6,9594.285714285714,Hungary,2020-06-01,9691.285714285714,-97.0,-1.0008991877828388,135896,-96466,135623.96360795412
2020,7,9754.57142857143,Hungary,2020-07-01,9941.714285714286,-187.14285714285688,-1.8824002758937783,135896,-96466,135384.37866421428
2020,8,10094.857142857143,Hungary,2020-08-01,10050.392857142857,44.46428571428624,0.4424134095682168,135896,-96466,136016.24442541337
2020,9,9967.285714285714,Hungary,2020-09-01,9837.428571428572,129.8571428571413,1.320031367081974,135896,-96466,136254.77396532195
2020,10,11849.0,Hungary,2020-10-01,10813.107142857143,1035.8928571428569,9.579974039442869,135896,-96466,138499.76030412826
