location,date,weekly_cases,weekly_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,Daily hospital occupancy,Daily hospital occupancy per million,cum_excess_per_million_proj_all_ages,excess_per_million_proj_all_ages,estimated_daily_excess_deaths_by_economist,cumulative_estimated_daily_excess_deaths_by_economist,excess_deaths,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,All,Business & Utility Services,Grocery & Convenience Stores,Home Services,Lifestyle Services,Local Events,Manufacturing,Professional Services,Public Good,Restaurants,Retail,Travel,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
Austria,2020-01-06,,,,,,,,-24.832226,-24.832226,0.0,0.0,-228.5,,,,,,,,,,,,,,,,,,,,
Austria,2020-01-13,0.0,0.0,,,,,,-45.62304,-20.790813,0.0,0.0,-188.5,,,,,,,,,,,,,,,,,,,,
Austria,2020-01-20,0.0,0.0,,,,,,-47.262054,-1.6390167,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,
Austria,2020-01-27,0.0,0.0,,,,,,-46.49868,0.76337767,13.416132,93.91292,37.0,,,,,,,,,,,,,,,,,,,,
Austria,2020-02-03,0.0,0.0,,,,,,-34.9133,11.585378,-20.417202,-49.007492,126.75,,,,,,,,,,,,,,,,,,,,
Austria,2020-02-10,0.0,0.0,,,,,,-55.232616,-20.319317,-12.917202,-139.4279,-139.75,,,,,,,,,,,,,,,,,,,,
Austria,2020-02-17,0.0,0.0,,,,,,-68.47946,-13.246847,-13.536249,-234.18164,-54.0,11.0,9.0,-1.333,9.333,39.667,-1.0,,,,,,,,,,,,,,
Austria,2020-02-24,0.0,0.0,,,,,,-82.310074,-13.830606,-9.186357,-298.48615,-54.75,7.549285714285714,6.437285714285714,-0.40214285714285714,4.781142857142856,29.126142857142856,-2.5077142857142856,,,,,,,,,,,,,,
Austria,2020-03-02,3.0,0.0,,,,,,-90.59496,-8.284893,-4.1863565,-327.79065,-38.5,4.224428571428571,8.87742857142857,0.08171428571428571,2.6119999999999997,20.387857142857143,0.38785714285714284,115.79612624635735,115.19360138884582,118.48246521898804,113.80445469345622,117.16757145660279,108.5326276452129,112.61148908214281,124.909568355803,108.65301897052794,117.13374941498743,118.6367813517146,118.1513554976887,0.0334777777777778,0.2074433333333333
Austria,2020-03-09,41.0,0.0,,,,,,-94.95071,-4.355743,-1.0149277,-334.89514,3.25,1.2447142857142859,5.224428571428571,0.06128571428571428,-0.5715714285714285,6.571428571428571,1.5305714285714287,113.39653243745795,111.01377774037971,107.39417162970479,112.88609993784758,118.4142660923353,108.89304967872373,109.86941838768533,118.91105156193281,109.77137877633982,110.31735382166902,121.47051996912465,106.86861433848655,0.027555555555555517,0.16621873015873012
Austria,2020-03-16,320.85714285714283,0.5714285714285714,,,,,,-96.81424,-1.8635396,31.470787,-114.599625,15.0,-8.163285714285715,10.020571428571428,1.7347142857142859,-9.163285714285715,4.979285714285714,-2.571571428571428,126.42828249958077,116.17544807550077,127.18005182317981,123.54771530585573,137.3031965091616,110.43316631991054,124.27745848637315,142.04039684723324,131.66768655328838,132.49289452287988,128.99962755248004,116.95028159631806,-0.0726531746031746,0.21089301587301584
Austria,2020-03-23,692.7142857142857,9.571428571428571,,,,,,-73.149536,23.664707,14.356501,-14.10412,254.0,-65.73485714285714,-20.734714285714286,17.591714285714286,-54.693714285714286,-30.530714285714286,-40.979571428571425,138.61242069315634,144.48159646411187,190.2801217974181,157.46883991038982,133.0214066135317,95.67323268252166,159.81080062165054,179.31580614507445,161.1526034808168,120.83126250968397,142.84362910395913,92.45695310765255,-0.41385666666666665,0.3906544444444444
Austria,2020-03-30,2290.0,37.142857142857146,,,,,,-62.933746,10.215789,32.270786,211.79138,129.5,-82.24485714285713,-36.69385714285714,23.428714285714285,-71.32642857142856,-49.61214285714285,-58.326428571428565,128.80257176394522,133.82875920619665,181.91959707920583,149.3544506276751,126.0107640413743,93.47668474737038,162.80436300701982,147.15699557697067,148.34200502280896,89.59236372188141,152.82426838737936,73.8635937630669,-0.435831746031746,0.3974044444444444
Austria,2020-04-06,4362.142857142857,91.0,,,,1074.0,120.139,-38.640377,24.29337,34.013645,449.8869,240.25,-79.653,-33.122571428571426,22.347,-68.69385714285714,-40.46928571428571,-56.38785714285715,132.13283057149056,134.91822372995452,180.56787467048406,151.91134360513288,122.67503246965607,92.97802856044477,169.42427332263313,141.6453761655827,148.390717609632,106.12307682237545,160.80907476479132,86.65748198389149,-0.381894126984127,0.35230619047619044
Austria,2020-04-13,2299.0,138.28571428571428,,,,1100.0,123.048,-12.977417,25.66296,22.556501,607.7824,251.75,-77.12257142857142,-29.183714285714284,20.449,-64.694,-19.428571428571427,-55.87771428571428,135.60190288048472,135.31680831181714,179.4837168516635,141.11245836839163,135.88060510357587,94.70052743545632,169.74877873026122,130.81866504512044,154.92469925549338,133.4689362426321,155.13619010091557,111.76115210815144,-0.37166952380952384,0.34361682539682536
Austria,2020-04-20,1285.142857142857,122.14285714285714,,,,1002.0,112.085,3.6821766,16.659594,14.299358,707.8779,190.0,-72.36742857142858,-33.061142857142855,19.734571428571428,-62.59171428571428,-17.796,-54.918285714285716,123.06006687523305,122.56077307694011,149.45393521625581,132.4982907607825,110.97614531455856,88.36419228809241,144.22642842031084,120.44396763997975,126.25815378659175,124.4222694232349,147.02652127076317,109.0587358300675,-0.2717338095238095,0.29884730158730155
Austria,2020-04-27,545.0,99.57142857142857,,,,756.0,84.567,13.853061,10.170884,-0.32921347,705.5734,129.0,-65.10185714285714,-24.06114285714286,16.489714285714285,-55.754999999999995,-7.081571428571428,-45.53057142857143,117.65103973414209,119.66173455152591,139.22393323353884,124.39840181631428,126.26865253263318,82.57645132024899,138.36910581262356,115.80984441942249,121.27729178393771,114.42340555150612,136.65605551087384,105.8133851251395,-0.2181026984126984,0.2729371428571428
