,Unnamed: 0.1,Unnamed: 0,location,date,weekly deaths,weekly cases,vacination rate,retail and recreation,grocery and pharmacy,residential,transit stations,workplaces,country,excess deaths,Government Response Index Average
1567,1567,1567,France,2020-03-09,6.285714285714286,449.0,,-3.7754285714285714,2.143,2.143,-2.387714285714285,-4.530428571428572,France,-379.25,35.082857142857144
1568,1568,1568,France,2020-03-16,59.0,2609.8571428571427,,-8.142999999999999,4.918571428571428,2.224428571428571,-6.632428571428571,-2.550857142857143,France,578.5,42.96857142857143
1569,1569,1569,France,2020-03-23,308.0,7851.285714285715,,-57.36742857142857,-12.67357142857143,18.591857142857144,-51.73471428571429,-42.28585714285714,France,2242.0,75.0
1570,1570,1570,France,2020-03-30,1323.571428571429,18282.28571428572,,-84.20414285714286,-49.204142857142855,30.02057142857143,-82.4692857142857,-68.32642857142856,France,4558.25,75.0
1571,1571,1571,France,2020-04-06,3607.571428571429,29461.0,,-87.28557142857143,-46.36728571428572,29.91842857142857,-82.63271428571429,-68.28571428571429,France,7378.5,75.0
1572,1572,1572,France,2020-04-13,6639.714285714285,26152.42857142857,,-84.55114285714285,-41.08171428571429,29.06114285714286,-80.81642857142857,-66.83671428571428,France,6408.0,75.0
1573,1573,1573,France,2020-04-20,5674.285714285715,21265.14285714286,,-83.36728571428571,-42.24514285714286,29.10214285714286,-80.22442857142858,-66.65314285714285,France,4355.5,75.0
1574,1574,1574,France,2020-04-27,4056.857142857143,13119.857142857143,,-81.10199999999999,-41.224428571428575,27.469428571428573,-77.48985714285713,-61.91842857142857,France,1854.5,75.0
1575,1575,1575,France,2020-05-04,2526.8571428571427,8325.142857142857,,-79.16342857142857,-40.020428571428575,26.734857142857145,-76.57157142857143,-60.67342857142857,France,483.0,75.0
1576,1576,1576,France,2020-05-11,1676.857142857143,7237.285714285715,,-74.77557142857142,-33.367285714285714,25.408142857142856,-73.16314285714286,-57.22457142857143,France,377.5,74.62857142857142
1577,1577,1577,France,2020-05-18,1365.142857142857,5278.857142857143,,-57.02057142857143,-17.89785714285714,18.26528571428572,-58.285714285714285,-44.102,France,132.25,70.31
1578,1578,1578,France,2020-05-25,882.5714285714286,4323.714285714285,,-45.18371428571429,-8.91842857142857,14.081857142857144,-49.143,-39.51014285714286,France,465.25,70.31
1579,1579,1579,France,2020-06-01,461.57142857142856,3370.5714285714284,,-39.93871428571429,-6.897857142857142,12.510285714285716,-44.87757142857144,-33.04071428571429,France,176.25,66.15
1580,1580,1580,France,2020-06-08,390.57142857142856,2808.285714285714,,-31.97957142857143,-3.694,10.591857142857142,-38.755,-28.06128571428572,France,239.5,64.58
1581,1581,1581,France,2020-06-15,292.85714285714283,2706.714285714286,,-24.12242857142857,-3.408142857142857,8.612285714285715,-33.26528571428572,-20.796,France,329.0,64.58
1582,1582,1582,France,2020-06-22,239.0,2530.1428571428573,,-20.469285714285714,-3.8367142857142857,7.347,-28.12257142857143,-19.183714285714284,France,-25.25,62.942857142857136
1583,1583,1583,France,2020-06-29,154.57142857142858,2226.428571428572,,-15.836714285714285,-1.5102857142857142,4.918142857142857,-23.12242857142857,-18.0,France,687.25,53.12
1584,1584,1584,France,2020-07-06,116.14285714285714,2217.1428571428573,,-12.081428571428573,0.9182857142857144,4.245,-19.59171428571429,-17.632714285714286,France,-600.0,53.12
1585,1585,1585,France,2020-07-13,97.14285714285714,2698.285714285714,,-7.448857142857143,4.0205714285714285,3.1631428571428573,-14.408142857142858,-21.12257142857143,France,138.5,51.78285714285715
1586,1586,1586,France,2020-07-20,125.57142857142856,3515.714285714286,,-7.796,2.265428571428572,4.387857142857143,-16.653142857142857,-30.63271428571429,France,-364.75,50.222857142857144
1587,1587,1587,France,2020-07-27,61.42857142857143,5752.0,,-6.428571428571429,4.489714285714286,3.2245714285714286,-13.938857142857144,-22.959,France,-14.5,52.455714285714286
1588,1588,1588,France,2020-08-03,60.57142857142857,7751.142857142857,,-6.959142857142857,4.9590000000000005,3.8365714285714287,-14.224428571428572,-26.142857142857142,France,625.5,53.76142857142857
1589,1589,1589,France,2020-08-10,61.42857142857143,11154.857142857143,,-4.489857142857143,7.877571428571429,4.143,-14.265285714285714,-32.97971428571429,France,576.75,54.43
1590,1590,1590,France,2020-08-17,64.0,16861.0,,-6.612428571428572,6.489714285714285,5.183571428571428,-16.99985714285714,-38.51028571428572,France,1790.75,55.02428571428572
1591,1591,1591,France,2020-08-24,91.71428571428572,26671.14285714286,,-7.673714285714285,4.714285714285714,5.143,-17.12257142857143,-36.93871428571429,France,116.75,55.46999999999999
1592,1592,1592,France,2020-08-31,90.57142857142856,37965.0,,-8.408,2.040857142857143,4.510285714285715,-16.22442857142857,-29.551,France,230.25,55.46999999999999
1593,1593,1593,France,2020-09-07,96.0,51015.42857142857,,-8.102,2.591857142857143,3.347,-12.816142857142856,-24.32642857142857,France,521.75,55.43285714285714
1594,1594,1594,France,2020-09-14,140.85714285714286,62582.57142857143,,-9.020428571428573,1.2038571428571427,1.0204285714285717,-8.387714285714285,-21.59171428571429,France,834.25,55.73
